table,sheet_row,status,reason,primary_key,label,row_json
account_category,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
accounting_audit_log,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
audit_log,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
bill_counter,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
booking_allocation_repair_archive,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
cash_flow_category,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
cash_flow_difference_adjustment,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
cash_flow_party,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
client,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
delivery,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
delivery_person,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
direct_sale_draft,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
fbm_cash_drawer_category,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
fbm_cash_drawer_entry,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
fbm_client,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
fbm_rental_item,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
future_account_audit_log,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
invoice,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
migration_run,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
pending_bill,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
recon_basket,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
root_backup_email_history,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
root_backup_settings,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
root_recovery_code,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
schema_version,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
settings,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
staff_email,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
supplier,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
system_lock,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
user,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
account,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
cash_flow_reconciliation_audit,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
cash_flow_subcategory,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
delivery_item,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
entry,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
follow_up_reminder,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
import_upload,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
migration_mapping,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
migration_row,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
account_reconciliation,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
booking,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
direct_sale,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
fbm_rental,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
follow_up_contact,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
grn,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
import_job,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
payment,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
supplier_payment,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
account_transaction,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
booking_item,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
delivery_rent,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
grn_item,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
import_history_entry,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
material_return,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
sale_delivery_persons,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
waive_off,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
cash_flow_entry,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
delivery_person_payment,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
direct_sale_item,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
material_return_item,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
booking_allocation,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
cash_flow_entry_audit,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
grn_allocation,,unavailable,Sheet is not available in this backup; existing table data was kept.,,,
user,,unavailable,User sheet not present (older/partial backup); users already on this system were kept.,,,
material,3,skipped,duplicate_primary_key,11,name=OPC DUP; code=FBMCEM-000011,"{""id"": 11, ""code"": ""FBMCEM-000011"", ""name"": ""OPC DUP"", ""category_id"": 8, ""unit_price"": 0.0, ""total"": 0.0, ""unit"": ""Bags"", ""is_active"": true}"
material,4,failed,FOREIGN KEY constraint failed,12,name=BAD FK; code=FBMCEM-000012,"{""id"": 12, ""code"": ""FBMCEM-000012"", ""name"": ""BAD FK"", ""category_id"": 999, ""unit_price"": 0.0, ""total"": 0.0, ""unit"": ""Bags"", ""is_active"": true}"
